Username,Creator,Weight
politics,politics,14
politics,democrats,3
politics,foxnews,1
politics,democrat,7
politics,watchthis,1
politics,watch,1
politics,biden,5
politics,liberal,8
politics,trendingvideo,1
politics,world,1
politics,weather,1
politics,extremeweather,1
politics,tiktoknews,1
politics,climate,2
politics,uk,1
politics,europe,1
politics,nowthis,5
politics,nowthisnews,5
politics,celebrity,5
politics,celebs,5
politics,feelgood,5
politics,entertainment,5
politics,writersstrike,5
politics,wga,5
politics,sagaftra,5
politics,gopfascist,2
politics,cometogether,2
politics,humanrights,2
politics,trump,4
politics,june1,2
politics,lgbtqiarightsarehumanrights,3
politics,powerfulwomen,2
politics,laurenboebertissodumb,2
politics,tuckercarlsonsucks,2
politics,texasdemocrats,2
politics,sohoradio,1
politics,freeseed,1
politics,radio,1
politics,freeseednews,1
politics,film,1
politics,zerohours,1
politics,chat,1
politics,london,1
politics,band,1
politics,tunein,1
politics,whitechristiannationalism,1
politics,christofascists,1
politics,darkmoney,1
politics,whistleblower,1
politics,authoritarian,1
politics,democracy,1
politics,equality,1
politics,capitalism,2
politics,blm,1
politics,tiktokfashion,1
politics,fashionforyou,1
politics,runway,1
politics,parisfashionweek,1
politics,milanfashionweek,1
politics,fashionweek,1
politics,aw23,1
politics,pfw,1
politics,fashiontiktok,1
politics,archive,1
politics,cult45,2
politics,republicans,3
politics,voteblue,1
politics,donaldtrump,4
politics,tennessee,1
politics,nashville,1
politics,fauxnews,1
politics,trumpisacriminal,1
politics,lockhimup,1
politics,govotetn,1
politics,circulareconomy,1
politics,sustainabilitytiktok,1
politics,maybelline,1
politics,sustainability,1
politics,regenerativeagriculture,1
politics,cleanbeauty,1
politics,sustainablebeauty,1
politics,sustainable,1
politics,friday,1
politics,fridayfeeling,1
politics,anticapitalism,1
politics,socialism,1
politics,classwar,1
politics,edutok,1
politics,communism,2
politics,politicstiktok,1
politics,politok,1
politics,education,1
politics,politicalsatire,1
politics,hincher,1
politics,groceryshopping,1
politics,bugbear,1
politics,onlinegrocery,1
politics,cleaningtipsandhacks,1
politics,cleaninghacks,1
politics,cleaninghack,1
politics,stockup,1
politics,zerowaster,1
politics,zerowasteswaps,1
politics,leftisbest,1
politics,leftist,4
politics,independentmedia,1
politics,conservative,3
politics,republican,8
politics,greenscreen,1
politics,lefttok,1
politics,leftisttiktok,2
politics,maga,4
politics,candycrush10,2
politics,abortion,2
politics,bias,1
politics,propaganda,1
politics,narrativeviolation,1
politics,genz,1
politics,media,1
politics,kroger,1
politics,easyrecipes,1
politics,foodies,1
politics,foodhacks,1
politics,holidayrecipes,1
politics,gamedayrecipes,1
politics,viralrecipes,1
politics,cheesy,1
politics,kidsrecipes,1
politics,thanksgivingrecipes,1
politics,desantis,1
politics,crt,1
politics,guns,1
politics,sedition,1
politics,womensrightsarehumanrights,1
politics,repukkkelicans,1
politics,desatan,1
politics,marjorietraitorgreene,1
politics,voteblue2024,1
politics,patriots,1
politics,liberals,1
politics,magas,1
politics,conservatives,1
politics,biden2024,1
politics,trump2024,1
politics,dtatdm,1
politics,showbiz,1
politics,shocking,1
politics,dailymail,1
politics,crimetok,1
politics,crime,1
politics,truecrime,1
politics,rundown,1
politics,celebritynews,1
politics,scandal,1
politics,idahofour,1
politics,cuomo,1
politics,idahomurders,1
politics,missing,1
politics,crimetiktok,1
politics,usmexicoborder,1
politics,alexmurdaugh,1
politics,border,1
politics,powergrid,1
politics,bryankohberger,1
politics,climateaction,1
politics,cop27,1
politics,earth,1
politics,animals,1
politics,egypt,1
politics,environment,1
politics,oil,1
politics,politicalnews,3
politics,2024election,3
politics,joebiden,3
politics,congress,3
politics,nativeamericantiktok,1
politics,indigenoustiktok,1
politics,nativeamerican,1
politics,indigenous,1
politics,native,1
politics,nativetiktok,1
politics,nativetiktoks,1
politics,girlsnightout,1
politics,beadwork,1
politics,reztok,1
politics,troupcounty,1
politics,lagrangega,1
politics,columbusga,1
politics,veteran,1
politics,georgia,1
politics,democratsoftiktok,1
politics,atlanta,1
politics,vote,1
politics,usa,1
politics,davetheviking,1
politics,heathensagainsthate,1
politics,vikingsagainstracism,1
politics,viking,1
politics,norsetok,1
politics,norse,1
politics,vikings,1
politics,thevillainsguild,1
politics,endwhitesupremacy,1
politics,vinlandapparel,1
politics,tinhattrumparmy,1
politics,magaga,1
politics,magacult,1
politics,republikkkans,1
politics,fascistgop,1
politics,lgbtqia,1
politics,toriesout,1
politics,politicalhumour,1
politics,tories,1
politics,brexit,1
politics,torycorruption,1
politics,votelabour,1
politics,uklabour,1
politics,tacticalvoting,1
politics,politicalhumor,1
politics,ukpolitics,1
republican,northcarolina,1
republican,nc,1
republican,ncnews,1
republican,northcarolinaliving,1
republican,universityofnorthcarolinaatchapelhill,1
republican,activeshootertoday,1
republican,activeshooter,1
republican,ncgeneralassembly,1
republican,ncpolitics,1
republican,carrboro,1
republican,trump2024,5
republican,joebiden,8
republican,biden,15
republican,bidenharris,3
republican,kamalaharris,3
republican,trump,17
republican,bidenadministration,3
republican,sleepyjoe,3
